year,Bauxite_price,Cobalt_price,Graphite_price,Lithium_price,Manganese_price,Niobium_price,Potash_price,Tantalum_price,Tungsten_price,Vanadium_price,Vermiculite_price,Zircon_price,Uranium_price
1991,14.968548,37302.223,879.96918,4210,3.72,6239.083,118.84119,66270.969,6100,6283.1758,,340,18629.064
1992,14.968548,50552.004,642.28674,4320,3.25,6239.083,121.56275,62148.324,5600,5026.5405,,255,18877.084
1993,25.401171,30401.752,555.19702,4210,2.5999999,5886.3433,116.11964,58224.094,4200,3196.7034,,200,22216.17
1994,23.586802,54366.004,570.6192,4410,2.4000001,5732.02,118.84119,57849.309,4500,6503.6377,,278,20769.387
1995,21.772432,64397.039,596.92755,4340,2.4000001,6393.4067,124.2843,59480.73,6200,6172.9443,,325,25716.008
1996,24.493986,56217.887,634.12213,4340,2.55,6613.8691,120.65556,61178.289,6600,7032.7476,,400,34401.918
1997,22.679617,51455.902,564.26886,4470,2.4400001,6613.8691,127.00586,33000,6400,8598.0293,,400,26671.191
1998,20.865248,47245.07,466.29294,4470,2.4000001,6613.8691,131.54178,34000,5200,12059.288,,355,22899.756
1999,19.958063,37522.684,496.23004,4470,2.26,6613.8691,131.54178,34000,4700,4387.1997,129.72742,311,22079.912
2000,20.865248,33422.086,557.91858,4470,2.3900001,8157.105,131.54178,160000,4700,4012.4138,129.72742,396,18264.412
2001,20.865248,23258.773,471.73605,,2.4400001,,140.61363,37000,6400,3020.3335,129.72742,356,19003.537
2002,18.143694,15233.945,512.55933,,2.3,5520,140.61363,31000,5500,2954.1948,129.72742,400,21666.855
2003,17.236509,23369.004,561.5473,,2.4100001,5600,154.22141,30000,5000,4872.2168,129.72742,396,24771.094
2004,19.958063,52756.629,439.98459,,2.8900001,6750,181.43694,30000,14600,13205.691,129.72742,477,39784.285
2005,23.586802,35185.781,464.47858,,4.3899999,7410,254.01172,35000,20000,35891.262,129.72742,674,61577.039
2006,25.401171,37963.609,478.99353,,3.51,10300,263.08356,32000,19000,17328.336,125.19149,791,105127.3
2007,28.122726,67351.234,452.68515,,3.0999999,21918,362.87387,37000,18900,16314.21,127.00586,872,218782.44
2008,23.586802,86002.344,683.11011,,12.15,34398,612.34967,44000,18400,28483.729,127.00586,773,141492.34
2009,27.215542,39374.566,629.58618,,7.9499998,37298,725.74774,40000,15100,11971.103,117.93401,850,102892.99
2010,24.493986,45966.391,653.17297,5180,9.1800003,37781,548.84674,54000,18300,14330.05,136.0777,1155,101326.92
2011,27.215542,39661.168,1070.4779,5180,6.6700001,41825,662.24481,125000,24800,14903.252,145.14955,2122,123977.89
2012,25.401171,31019.045,1242.843,6060,4.9699998,43658,644.10114,108000,35800,14308.003,324.31854,2533,107803.77
2013,24.493986,28417.59,1206.5557,6800,4.6100001,43415,580.59821,118000,35800,13315.923,324.31854,996,85042.594
2014,24.493986,31922.941,1152.1245,6690,4.4899998,42000,526.16711,100000,34800,12367.935,324.31854,1106,73831.57
2015,25.401171,29630.133,1551.2859,6500,3.53,24000,526.16711,193000,30200,9171.2314,324.31854,1061,81163.359
2016,25.401171,26477.521,1741.7947,8650,3.4100001,21000,317.51465,193000,14800,7451.626,324.31854,877,58389.848
2017,28.122726,59458.684,1260.9867,15000,6.4299998,20000,371.94574,193000,24500,16777.182,324.31854,916,48698.738
2018,28.122726,82519.039,1378.9208,17000,7.1700001,21000,399.16125,214000,32600,36155.816,324.31854,1290,54110.668
2019,29.029911,37478.59,1179.3401,13000,6.5999999,23000,435.44867,162000,27000,26014.551,324.31854,1500,57113.941
